X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8400427.70439601,4861981.72096735,1,10430783W,Bus,Infodev,104,Westbound,30783,West Chester Pk & Edgemont Country Club Rd,39.97274,-75.462326,Fall 2018,0,0,0,0,0,0
-8388368.46395837,4863122.07196454,2,10418804E,Bus,Infodev,104,Eastbound,18804,West Chester Pk & Edgewood Rd,39.98059,-75.353996,Fall 2018,2,0,0,0,0,1
-8388345.53214327,4863168.12455919,3,10418666W,Bus,Infodev,104,Westbound,18666,West Chester Pk & Edgewood Rd - FS,39.980907,-75.35379,Fall 2018,0,7,0,3,0,2
-8394643.09837643,4863898.6024874,4,10418787E,Bus,Infodev,104,Eastbound,18787,West Chester Pk & Ellis Av - FS,39.985935,-75.410362,Fall 2018,4,2,2,0,0,1
-8410783.20002705,4861286.24379716,5,10418713W,Bus,Infodev,104,Westbound,18713,West Chester Pk & Ellis Ln - FS,39.967952,-75.555351,Fall 2018,5,3,2,3,3,5
-8411066.8420896,4861370.48864737,6,10418714W,Bus,Infodev,104,Westbound,18714,West Chester Pk & Ellis Ln - MBFS,39.968532,-75.557899,Fall 2018,1,5,0,5,1,5
-8410520.70866776,4861209.84305105,7,10429742W,Bus,Infodev,104,Westbound,29742,West Chester Pk & Ellis Ln - MBNS,39.967426,-75.552993,Fall 2018,1,2,2,1,1,2
-8378801.11032215,4860635.83951473,8,10418829E,Bus,Infodev,104,Eastbound,18829,West Chester Pk & Elm Av,39.963474,-75.268051,Fall 2018,8,9,3,8,4,4
-8410694.81235136,4861217.54119845,9,10418755E,Bus,Infodev,104,Eastbound,18755,West Chester Pk & Falcon Ln,39.967479,-75.554557,Fall 2018,2,4,2,1,1,0
-8410496.1070603,4861159.44212021,10,10429718E,Bus,Infodev,104,Eastbound,29718,West Chester Pk & Falcon Ln - MBFS,39.967079,-75.552772,Fall 2018,0,5,1,2,1,2
-8411086.32300049,4861332.86887593,11,10418754E,Bus,Infodev,104,Eastbound,18754,West Chester Pk & Falcon Ln - MBNS,39.968273,-75.558074,Fall 2018,4,1,5,1,3,0
-8413104.32272958,4861345.50561723,12,1041989W,Bus,Infodev,104,Westbound,1989,West Chester Pk & Five Points Rd - FS,39.96836,-75.576202,Fall 2018,2,13,2,5,1,4
-8403334.81289807,4860884.05711379,13,10418699W,Bus,Infodev,104,Westbound,18699,West Chester Pk & Garrett Mill Rd,39.965183,-75.488441,Fall 2018,1,3,0,0,0,1
-8382660.33442897,4861625.40629791,14,10418653W,Bus,Infodev,104,Westbound,18653,West Chester Pk & Gilmore Rd - FS,39.970287,-75.302719,Fall 2018,5,18,1,4,3,2
-8382584.74849472,4861564.39976872,15,10418816E,Bus,Infodev,104,Eastbound,18816,West Chester Pk & Gilmore Rd - FS,39.969867,-75.30204,Fall 2018,3,4,1,1,4,0
-8411711.49326078,4861510.65623214,16,10418753E,Bus,Infodev,104,Eastbound,18753,West Chester Pk & Glen Av,39.969497,-75.56369,Fall 2018,8,2,2,1,3,0
-8385368.73763997,4862244.93430834,17,10418661W,Bus,Infodev,104,Westbound,18661,West Chester Pk & Glen Gary Dr,39.974552,-75.327049,Fall 2018,1,9,0,0,0,1
-8364181.18763779,4860403.16838225,18,4331753W,Bus,Infodev,43,Westbound,31753,Delaware Av & Penn St,39.961872,-75.136718,Fall 2018,2,2,4,2,0,0
-8385421.39175911,4862212.25015309,19,10418808E,Bus,Infodev,104,Eastbound,18808,West Chester Pk & Glen Gary Dr,39.974327,-75.327522,Fall 2018,5,3,1,0,1,0
-8384859.11701111,4862077.01152554,20,10418810E,Bus,Infodev,104,Eastbound,18810,West Chester Pk & Glendale Rd,39.973396,-75.322471,Fall 2018,12,14,11,14,6,6
-8384837.85498837,4862119.13721628,21,10418659W,Bus,Infodev,104,Westbound,18659,West Chester Pk & Glendale Rd - FS,39.973686,-75.32228,Fall 2018,6,14,3,5,2,1
