X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8349539.33501375,4882458.11208499,1,1429612S,Bus,UTA,14,Southbound,29612,Mast Charter School,40.113559,-75.005188,Fall 2017,52,0,0,0,0,0
-8349379.03494701,4882008.05191684,2,1425929S,Bus,UTA,14,Southbound,25929,Byberry Rd & Evans St - Fs,40.110467,-75.003748,Fall 2017,0,0,0,0,0,0
-8349286.30581118,4881795.98343803,3,1425930S,Bus,UTA,14,Southbound,25930,Byberry Rd & Evans St - Mbfs,40.10901,-75.002915,Fall 2017,0,0,0,0,0,0
-8349195.3577872,4881591.48793746,4,1425931S,Bus,UTA,14,Southbound,25931,Byberry Rd & Roosevelt Blvd,40.107605,-75.002098,Fall 2017,0,0,0,0,0,0
-8348928.41364828,4881442.01240382,5,1418S,Bus,UTA,14,Southbound,18,Roosevelt Blvd & Byberry Rd,40.106578,-74.9997,Fall 2017,58,4,14,0,7,2
-8349148.04700362,4881223.40668017,6,1419S,Bus,UTA,14,Southbound,19,Roosevelt Blvd & Comly Rd,40.105076,-75.001673,Fall 2017,46,10,29,6,16,5
-8349084.70621335,4880463.56374391,7,1430427S,Bus,UTA,14,Southbound,30427,Caroline Rd & Comly Rd,40.099855,-75.001104,Fall 2017,6,0,0,0,0,0
-8349299.88678906,4881083.10568278,8,1421944S,Bus,UTA,14,Southbound,21944,Roosevelt Blvd & Bennett Rd,40.104112,-75.003037,Fall 2017,36,7,5,2,2,2
-8349473.21123622,4880926.65203963,9,1425957S,Bus,UTA,14,Southbound,25957,Roosevelt Blvd & Bennett Rd,40.103037,-75.004594,Fall 2017,17,3,21,6,21,2
-8349263.93059353,4880274.5216673,10,1416S,Bus,UTA,14,Southbound,16,Caroline Rd & Comly Rd - Mbf,40.098556,-75.002714,Fall 2017,2,0,0,0,0,0
-8349417.66281032,4880127.10336842,11,1423033S,Bus,UTA,14,Southbound,23033,Caroline Rd & Charter Rd - M,40.097543,-75.004095,Fall 2017,2,0,0,0,0,0
-8349489.57520137,4879692.71966101,12,1423035S,Bus,UTA,14,Southbound,23035,Charter Rd & Norcom Rd,40.094558,-75.004741,Fall 2017,0,0,0,0,0,0
-8350198.23507976,4879288.91270065,13,1423036S,Bus,UTA,14,Southbound,23036,Red Lion Rd & Norcom Rd - Fs,40.091783,-75.011107,Fall 2017,0,0,0,0,0,0
-8349710.65571008,4880708.93089754,14,1421945S,Bus,UTA,14,Southbound,21945,Roosevelt Blvd & Plaza Dr -,40.101541,-75.006727,Fall 2017,72,20,57,17,44,17
-8349878.41418271,4880547.38956102,15,1425958S,Bus,UTA,14,Southbound,25958,Roosevelt Blvd & Haldeman Av,40.100431,-75.008234,Fall 2017,40,11,34,8,30,5
-8350046.17265534,4880394.00049697,16,1421946S,Bus,UTA,14,Southbound,21946,Roosevelt Blvd & Haldeman Av,40.099377,-75.009741,Fall 2017,42,4,27,4,17,2
-8350350.52014316,4880096.10651275,17,1421947S,Bus,UTA,14,Southbound,21947,Roosevelt Blvd & Tomlinson R,40.09733,-75.012475,Fall 2017,75,6,31,2,28,2
-8350497.12791254,4879937.04905672,18,1421948S,Bus,UTA,14,Southbound,21948,Roosevelt Blvd & Greymont St,40.096237,-75.013792,Fall 2017,18,10,3,2,2,2
-8350697.057718,4879710.47299352,19,1421949S,Bus,UTA,14,Southbound,21949,Roosevelt Blvd & Red Lion Rd,40.09468,-75.015588,Fall 2017,152,39,70,15,46,10
-8350796.2433843,4881105.80985873,20,1429965S,Bus,UTA,14,Southbound,29965,Jamison Av & Foster St - Fs,40.104268,-75.016479,Fall 2017,40,0,0,0,0,0
-8350553.67821386,4879291.67744909,21,1423671S,Bus,UTA,14,Southbound,23671,Marmax - On Site,40.091802,-75.0143,Fall 2017,33,0,19,0,20,0
-8350442.58136205,4879459.60098524,22,1423673S,Bus,UTA,14,Southbound,23673,Red Lion Rd & Congdon Pkwy -,40.092956,-75.013302,Fall 2017,101,12,0,0,0,0
-8350906.2270412,4879430.06136998,23,1422767S,Bus,UTA,14,Southbound,22767,Roosevelt Blvd & Whitten St,40.092753,-75.017467,Fall 2017,23,3,10,1,5,1
-8351299.51880218,4878901.71003001,24,1422768S,Bus,UTA,14,Southbound,22768,Roosevelt Blvd & Conwell Av,40.089122,-75.021,Fall 2017,13,6,8,1,5,2
-8351635.3697059,4878456.6129976,25,1422770S,Bus,UTA,14,Southbound,22770,Roosevelt Blvd & Bowler St,40.086063,-75.024017,Fall 2017,35,11,15,4,11,2
