X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8372844.07041133,4859496.79056519,1,2131148W,Bus,Infodev,21,Westbound,31148,Walnut St & Farragut St,39.955631,-75.214538,Fall 2019,20,51,10,32,6,29
-8369288.85983386,4856490.69465463,2,725212S,Bus,Infodev,7,Southbound,25212,23rd St & Reed St,39.934928,-75.182601,Fall 2019,24,31,13,21,15,15
-8372952.82955383,4859515.08867429,3,2121371W,Bus,Infodev,21,Westbound,21371,Walnut St & 47th St,39.955757,-75.215515,Fall 2019,22,62,11,45,3,19
-8369491.90658507,4855250.21740183,4,725219S,Bus,Infodev,7,Southbound,25219,23rd St & Snyder Av,39.926383,-75.184425,Fall 2019,51,79,28,30,29,27
-8368974.71623084,4858026.66217866,5,722238S,Bus,Infodev,7,Southbound,22238,23rd St & South St,39.945507,-75.179779,Fall 2019,60,46,41,25,28,24
-8373177.02700829,4859551.5397699,6,2121372W,Bus,Infodev,21,Westbound,21372,Walnut St & 48th St,39.956008,-75.217529,Fall 2019,43,102,23,48,18,39
-8368566.95293606,4860773.23713816,7,7748S,Bus,Infodev,7,Southbound,748,23rd St & Spring Garden St,39.96442,-75.176116,Fall 2019,14,6,10,4,10,2
-8368893.11904409,4858510.19481515,8,7315S,Bus,Infodev,7,Southbound,315,23rd St & Spruce St,39.948837,-75.179046,Fall 2019,19,4,7,4,5,9
-8369347.52520551,4856136.89969315,9,725214S,Bus,Infodev,7,Southbound,25214,23rd St & Tasker St,39.932491,-75.183128,Fall 2019,29,49,18,23,11,20
-8373395.32452973,4859587.55532643,10,2121374W,Bus,Infodev,21,Westbound,21374,Walnut St & 49th St,39.956256,-75.21949,Fall 2019,50,105,21,57,13,42
-8368834.56499193,4858853.03807133,11,722234S,Bus,Infodev,7,Southbound,22234,23rd St & Walnut St,39.951198,-75.17852,Fall 2019,42,32,26,10,13,16
-8373615.29184354,4859624.15191281,12,2121375W,Bus,Infodev,21,Westbound,21375,Walnut St & 50th St,39.956508,-75.221466,Fall 2019,22,95,14,56,10,45
-8369169.97061769,4857196.87047986,13,794S,Bus,Infodev,7,Southbound,94,23rd St & Washington Av,39.939792,-75.181533,Fall 2019,37,38,15,12,11,7
-8369258.35829338,4856665.20136343,14,725211S,Bus,Infodev,7,Southbound,25211,23rd St & Wharton St,39.93613,-75.182327,Fall 2019,16,31,16,18,11,13
-8373834.36860142,4859658.57025401,15,2121376W,Bus,Infodev,21,Westbound,21376,Walnut St & 51st St,39.956745,-75.223434,Fall 2019,28,74,12,38,13,30
-8374052.66612287,4859694.0052953,16,21434W,Bus,Infodev,21,Westbound,434,Walnut St & 52nd St,39.956989,-75.225395,Fall 2019,161,239,94,131,49,81
-8369558.14168209,4854891.53130812,17,725221S,Bus,Infodev,7,Southbound,25221,23rd St & Wolf St,39.923912,-75.18502,Fall 2019,13,18,8,15,4,4
-8374272.63343668,4859729.44046302,18,2121377W,Bus,Infodev,21,Westbound,21377,Walnut St & 53rd St,39.957233,-75.227371,Fall 2019,34,66,27,37,11,23
-8369806.94074401,4854418.62543872,19,731100N,Bus,Infodev,7,Northbound,31100,24th St & Oregon Av - MBFS,39.920654,-75.187255,Fall 2019,19,8,10,5,9,5
-8374471.33872774,4859761.53553963,20,2121378W,Bus,Infodev,21,Westbound,21378,Walnut St & 54th St,39.957454,-75.229156,Fall 2019,42,74,16,42,22,32
-8369821.41227782,4854418.04484374,21,730084S,Bus,Infodev,7,Southbound,30084,24th St & Oregon Av - MBNS,39.92065,-75.187385,Fall 2019,20,71,13,65,11,49
-8374709.11716008,4859801.47299698,22,2121379W,Bus,Infodev,21,Westbound,21379,Walnut St & 55th St,39.957729,-75.231292,Fall 2019,33,82,21,37,11,29
-8369767.08836631,4854641.7215672,23,730100N,Bus,Infodev,7,Northbound,30100,24th St & Passyunk Av,39.922191,-75.186897,Fall 2019,57,26,31,25,17,15
-8374941.88621533,4859836.90854815,24,2121380W,Bus,Infodev,21,Westbound,21380,Walnut St & 56th St,39.957973,-75.233383,Fall 2019,33,114,26,60,14,41
-8369796.81067035,4854558.11436371,25,730083S,Bus,Infodev,7,Southbound,30083,24th St & Passyunk Av - MBFS,39.921615,-75.187164,Fall 2019,9,13,8,13,4,8
-8375164.41387742,4859873.50605339,26,2121381W,Bus,Infodev,21,Westbound,21381,Walnut St & 57th St,39.958225,-75.235382,Fall 2019,55,117,36,67,21,48
-8369129.22768406,4861649.80901455,27,714939N,Bus,Infodev,7,Northbound,14939,27th St & Brown St,39.970455,-75.181167,Fall 2019,2,13,0,11,1,8
-8375380.93028701,4859909.52277752,28,2121382W,Bus,Infodev,21,Westbound,21382,Walnut St & 58th St,39.958473,-75.237327,Fall 2019,19,76,10,30,10,23
-8368646.88033046,4864554.16067083,29,725190N,Bus,Infodev,7,Northbound,25190,27th St & Dauphin St,39.990447,-75.176834,Fall 2019,6,18,0,12,0,8
-8375600.89760082,4859943.21596028,30,2121383W,Bus,Infodev,21,Westbound,21383,Walnut St & 59th St,39.958705,-75.239303,Fall 2019,14,54,13,33,7,19
-8369039.17021601,4862175.64402695,31,7108N,Bus,Infodev,7,Northbound,108,27th St & Girard Av,39.974075,-75.180358,Fall 2019,20,62,9,44,12,38
-8375819.9743587,4859981.55661764,32,21435W,Bus,Infodev,21,Westbound,435,Walnut St & 60th St,39.958969,-75.241271,Fall 2019,47,159,30,77,23,41
-8369105.40531303,4861802.76312242,33,72880N,Bus,Infodev,7,Northbound,2880,27th St & Parrish St,39.971508,-75.180953,Fall 2019,3,8,0,6,1,7
-8376039.94167251,4860016.99281138,34,21436W,Bus,Infodev,21,Westbound,436,Walnut St & 61st St,39.959213,-75.243247,Fall 2019,15,59,12,28,8,24
-8369074.01321663,4861983.89985709,35,7584N,Bus,Infodev,7,Northbound,584,27th St & Poplar St,39.972755,-75.180671,Fall 2019,6,35,1,13,2,14
-8376261.69009817,4860052.42913156,36,2121384W,Bus,Infodev,21,Westbound,21384,Walnut St & 62nd St,39.959457,-75.245239,Fall 2019,19,79,15,39,7,33
-8369001.8781866,4862426.07911064,37,725170N,Bus,Infodev,7,Northbound,25170,27th St & Thompson St,39.975799,-75.180023,Fall 2019,2,20,2,14,1,10
-8369218.39459619,4863309.47975664,38,72887S,Bus,Infodev,7,Southbound,2887,29th St & Cecil B Moore Av,39.98188,-75.181968,Fall 2019,45,21,29,10,21,9
-8369205.70417424,4863281.15044479,39,72886N,Bus,Infodev,7,Northbound,2886,29th St & Cecil B Moore Av,39.981685,-75.181854,Fall 2019,20,41,7,22,7,21
-8369071.45286834,4864185.69444783,40,73196S,Bus,Infodev,7,Southbound,3196,29th St & Diamond St,39.987911,-75.180648,Fall 2019,16,3,9,2,12,2
-8369059.54168283,4864158.52496425,41,73195N,Bus,Infodev,7,Northbound,3195,29th St & Diamond St,39.987724,-75.180541,Fall 2019,5,15,2,14,1,7
-8369391.71904335,4862255.97431398,42,792S,Bus,Infodev,7,Southbound,92,29th St & Girard Av,39.974628,-75.183525,Fall 2019,49,36,38,21,26,20
-8369286.41080506,4862893.26492223,43,72891S,Bus,Infodev,7,Southbound,2891,29th St & Jefferson St,39.979015,-75.182579,Fall 2019,18,5,11,4,11,2
-8369274.49961955,4862867.6969708,44,73201N,Bus,Infodev,7,Northbound,3201,29th St & Jefferson St,39.978839,-75.182472,Fall 2019,5,17,4,5,5,3
-8369319.47269383,4862696.56771862,45,72895S,Bus,Infodev,7,Southbound,2895,29th St & Master St,39.977661,-75.182876,Fall 2019,25,5,23,2,17,1
-8369176.76110663,4863545.56049966,46,720430S,Bus,Infodev,7,Southbound,20430,29th St & Montgomery Av,39.983505,-75.181594,Fall 2019,16,2,3,3,8,4
-8369166.63103297,4863500.66840603,47,72896N,Bus,Infodev,7,Northbound,2896,29th St & Montgomery Av,39.983196,-75.181503,Fall 2019,6,27,3,19,7,13
-8369446.04295486,4861925.21526038,48,72899S,Bus,Infodev,7,Southbound,2899,29th St & Ogden St - FS,39.972351,-75.184013,Fall 2019,3,0,2,0,0,0
-8369251.56780444,4863101.0069688,49,72901S,Bus,Infodev,7,Southbound,2901,29th St & Oxford St,39.980445,-75.182266,Fall 2019,32,9,11,0,14,4
-8369239.65661893,4863073.40462824,50,72900N,Bus,Infodev,7,Northbound,2900,29th St & Oxford St,39.980255,-75.182159,Fall 2019,6,20,2,17,7,9
-8369470.64456233,4861788.23746485,51,72902S,Bus,Infodev,7,Southbound,2902,29th St & Pennsylvania Av,39.971408,-75.184234,Fall 2019,3,1,0,0,3,0
-8369424.78093212,4862069.16745115,52,72903S,Bus,Infodev,7,Southbound,2903,29th St & Poplar St,39.973342,-75.183822,Fall 2019,20,7,11,2,15,2
-8369092.71489108,4864042.72858743,53,7747S,Bus,Infodev,7,Southbound,747,29th St & Ridge Av,39.986927,-75.180839,Fall 2019,39,5,30,4,24,3
-8369085.03384622,4864003.35522128,54,730103N,Bus,Infodev,7,Northbound,30103,29th St & Ridge Av,39.986656,-75.18077,Fall 2019,8,32,6,14,2,14
-8369117.31649855,4863895.26087886,55,725202S,Bus,Infodev,7,Southbound,25202,29th St & Sedgley Av,39.985912,-75.18106,Fall 2019,19,4,11,3,10,1
-8369104.6260766,4863874.19424221,56,725184N,Bus,Infodev,7,Northbound,25184,29th St & Sedgley Av,39.985767,-75.180946,Fall 2019,4,22,6,17,4,15
-8369023.02888985,4864381.8399852,57,72906N,Bus,Infodev,7,Northbound,2906,29th St & Susquehanna Av,39.989261,-75.180213,Fall 2019,2,18,2,13,1,10
