X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8362422.33968326,4886861.25150538,10014,31027684L,Bus,Infodev,310,Loop,27684,Moreland Rd & Center Av - MBFS,40.143802,-75.120918,Fall 2021,22,0,3,0,0,0
-8362422.33968326,4886861.25150538,10015,31127684L,Bus,Infodev,311,Loop,27684,Moreland Rd & Center Av - MBFS,40.143802,-75.120918,Fall 2021,12,0,5,0,0,0
-8362614.25448539,4886977.31484597,10016,31027679L,Bus,Infodev,310,Loop,27679,Moreland Rd & Coolidge Av - MBFS,40.144599,-75.122642,Fall 2021,0,5,0,0,0,0
-8362614.25448539,4886977.31484597,10017,31127679L,Bus,Infodev,311,Loop,27679,Moreland Rd & Coolidge Av - MBFS,40.144599,-75.122642,Fall 2021,1,17,1,2,0,0
-8363410.07752507,4887589.54601882,10018,3101085L,Bus,Infodev,310,Loop,1085,Moreland Rd & Fitzwatertown Rd,40.148803,-75.129791,Fall 2021,4,0,2,0,0,0
-8363410.07752507,4887589.54601882,10019,3111085L,Bus,Infodev,311,Loop,1085,Moreland Rd & Fitzwatertown Rd,40.148803,-75.129791,Fall 2021,0,1,0,0,0,0
-8363941.7394131,4888015.68361033,10020,31029054L,Bus,Infodev,310,Loop,29054,Moreland Rd & Kimball Av,40.151729,-75.134567,Fall 2021,1,0,0,0,0,0
-8363906.89641248,4888013.49898939,10021,31016404L,Bus,Infodev,310,Loop,16404,Moreland Rd & Kimball Av,40.151714,-75.134254,Fall 2021,1,1,0,0,0,0
-8363906.89641248,4888013.49898939,10022,31116404L,Bus,Infodev,311,Loop,16404,Moreland Rd & Kimball Av,40.151714,-75.134254,Fall 2021,0,1,0,0,0,0
-8363941.7394131,4888015.68361033,10023,31129054L,Bus,Infodev,311,Loop,29054,Moreland Rd & Kimball Av,40.151729,-75.134567,Fall 2021,5,1,7,0,0,0
