X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8343717.10300628,4882991.31139665,1,130140S,Bus,UTA,1,Southbound,30140,PARX CASINO,40.117222,-74.952886,Fall 2015,55,0
-8343694.61646914,4883528.03323982,2,118973S,Bus,UTA,1,Southbound,18973,PARX RACE TRACK,40.120909,-74.952684,Fall 2015,2,1
-8344710.29550314,4883643.03845158,3,122760S,Bus,UTA,1,Southbound,22760,STREET RD & RICHLIEU RD - FS,40.121699,-74.961808,Fall 2015,4,0
-8344822.61686935,4884059.97994256,4,122761S,Bus,UTA,1,Southbound,22761,STREET RD & KINGSTON WAY - F,40.124563,-74.962817,Fall 2015,2,0
-8346283.35122754,4883793.85743814,5,130142S,Bus,UTA,1,Southbound,30142,ROOSEVELT BLVD & OLD LINCOLN,40.122735,-74.975939,Fall 2015,1,0
-8346626.66053715,4883487.41779445,6,122762S,Bus,UTA,1,Southbound,22762,ROOSEVELT BLVD & OLD LINCOLN,40.12063,-74.979023,Fall 2015,8,2
-8347202.85022149,4882964.23588274,7,122764S,Bus,UTA,1,Southbound,22764,ROOSEVELT BLVD & SOUTHAMPTON,40.117036,-74.984199,Fall 2015,0,0
-8345510.12604449,4882342.53840755,8,120590S,Bus,UTA,1,Southbound,20590,TOWNSEND RD & NATL ARCHIVES,40.112765,-74.968993,Fall 2015,10,0
-8345787.08893758,4882216.0493675,9,125953S,Bus,UTA,1,Southbound,25953,TOWNSEND RD & FEDEX - 2,40.111896,-74.971481,Fall 2015,0,0
-8345938.0381671,4882083.01200595,10,125954S,Bus,UTA,1,Southbound,25954,TOWNSEND RD & FEDEX - 1,40.110982,-74.972837,Fall 2015,0,0
-8346193.18244,4881833.38983356,11,125955S,Bus,UTA,1,Southbound,25955,TOWNSEND RD & MCNULTY RD - M,40.109267,-74.975129,Fall 2015,0,0
-8346434.30045706,4881602.11286655,12,131098S,Bus,UTA,1,Southbound,31098,TOWNSEND RD & MCNULTY RD,40.107678,-74.977295,Fall 2015,8,0
-8346742.0988491,4881766.29130251,13,122604S,Bus,UTA,1,Southbound,22604,MCNULTY RD & COMMERCE WAY,40.108806,-74.98006,Fall 2015,5,0
-8347063.03294106,4881888.26250608,14,122605S,Bus,UTA,1,Southbound,22605,MCNULTY RD & BLACK LAKE PL,40.109644,-74.982943,Fall 2015,2,0
-8347449.08893513,4881922.03045572,15,110485S,Bus,UTA,1,Southbound,10485,MCNULTY RD & SOUTHAMPTON RD,40.109876,-74.986411,Fall 2015,1,0
-8347517.43910248,4882315.02799548,16,11476S,Bus,UTA,1,Southbound,1476,SOUTHHAMPTON RD & ROOSEVELT,40.112576,-74.987025,Fall 2015,3,0
-8347675.29014042,4882537.29684444,17,122765S,Bus,UTA,1,Southbound,22765,ROOSEVELT BLVD & SOUTHAMPTON,40.114103,-74.988443,Fall 2015,8,2
-8347937.8928192,4882293.7766184,18,122766S,Bus,UTA,1,Southbound,22766,ROOSEVELT BLVD & HORNIG RD,40.11243,-74.990802,Fall 2015,4,0
-8348069.58377681,4882168.59819973,19,125956S,Bus,UTA,1,Southbound,25956,ROOSEVELT BLVD & HORNIG RD -,40.11157,-74.991985,Fall 2015,1,0
-8347921.30621507,4880851.55516902,20,122546S,Bus,UTA,1,Southbound,22546,COMLY RD & THORNTON RD,40.102521,-74.990653,Fall 2015,0,0
-8347628.75859327,4880334.04260931,21,122890S,Bus,UTA,1,Southbound,22890,DECATUR RD & COMLY RD - MBFS,40.098965,-74.988025,Fall 2015,0,0
