X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8366132.39567242,4862769.05759348,38,325387E,Bus,UTA,3,Eastbound,25387,CECIL B MOORE AV & 12TH ST,39.97816,-75.154246,Fall 2016,55,30
-8365951.39018039,4862737.6791458,39,325388E,Bus,UTA,3,Eastbound,25388,CECIL B MOORE AV & 11TH ST,39.977944,-75.15262,Fall 2016,46,67
-8365750.01322154,4862711.23997521,40,325389E,Bus,UTA,3,Eastbound,25389,CECIL B MOORE AV & 10TH ST -,39.977762,-75.150811,Fall 2016,15,29
-8365579.58308114,4862686.39884063,41,325390E,Bus,UTA,3,Eastbound,25390,CECIL B MOORE AV & 9TH ST,39.977591,-75.14928,Fall 2016,8,17
-8365468.8201878,4862674.6320091,42,325391E,Bus,UTA,3,Eastbound,25391,CECIL B MOORE AV & 8TH ST,39.97751,-75.148285,Fall 2016,47,65
-8365306.07109226,4862701.50689168,43,318529E,Bus,UTA,3,Eastbound,18529,7TH ST & CECIL B MOORE AV -,39.977695,-75.146823,Fall 2016,69,90
-8365255.64336293,4862867.84224307,44,318530E,Bus,UTA,3,Eastbound,18530,7TH ST & MONTGOMERY AV,39.97884,-75.14637,Fall 2016,9,13
-8365195.64215739,4863048.12676265,45,318531E,Bus,UTA,3,Eastbound,18531,7TH ST & BERKS ST,39.980081,-75.145831,Fall 2016,64,92
-8365038.01375843,4863042.46104298,46,325393E,Bus,UTA,3,Eastbound,25393,BERKS ST & 6TH ST,39.980042,-75.144415,Fall 2016,41,34
-8364898.97571443,4863019.79819666,47,325394E,Bus,UTA,3,Eastbound,25394,BERKS ST & GERMANTOWN AV,39.979886,-75.143166,Fall 2016,55,44
-8364769.39982715,4862998.15232124,48,326261E,Bus,UTA,3,Eastbound,26261,BERKS ST & 5TH ST,39.979737,-75.142002,Fall 2016,22,8
-8364634.59192379,4862976.07067145,49,325395E,Bus,UTA,3,Eastbound,25395,BERKS ST & 4TH ST,39.979585,-75.140791,Fall 2016,81,46
-8364485.31248664,4862954.27961785,50,325396E,Bus,UTA,3,Eastbound,25396,BERKS ST & 3RD ST,39.979435,-75.13945,Fall 2016,12,7
-8364359.74410103,4862943.81992911,51,325397E,Bus,UTA,3,Eastbound,25397,BERKS ST & AMERICAN ST,39.979363,-75.138322,Fall 2016,16,40
-8364206.56848169,4862942.51246879,52,325398E,Bus,UTA,3,Eastbound,25398,BERKS ST & 2ND ST,39.979354,-75.136946,Fall 2016,9,12
-8364026.89882355,4862897.04201154,53,325399E,Bus,UTA,3,Eastbound,25399,BERKS ST & MASCHER ST,39.979041,-75.135332,Fall 2016,17,20
-8363839.65944004,4862872.20041202,54,325401E,Bus,UTA,3,Eastbound,25401,BERKS ST & FRONT ST,39.97887,-75.13365,Fall 2016,72,313
-8363785.11288955,4863055.09996052,55,325402E,Bus,UTA,3,Eastbound,25402,FRONT ST & NORRIS ST,39.980129,-75.13316,Fall 2016,11,17
-8363746.81898472,4863260.23038947,56,325403E,Bus,UTA,3,Eastbound,25403,FRONT ST & CORAL ST,39.981541,-75.132816,Fall 2016,30,26
-8363709.63827479,4863464.20280953,57,325404E,Bus,UTA,3,Eastbound,25404,FRONT ST & SUSQUEHANNA AV,39.982945,-75.132482,Fall 2016,37,30
-8363657.31811412,4863699.124957,58,319004E,Bus,UTA,3,Eastbound,19004,FRONT ST & DAUPHIN ST,39.984562,-75.132012,Fall 2016,51,64
-8363577.05676126,4863892.0645587,59,321639E,Bus,UTA,3,Eastbound,21639,FRONT ST & YORK ST,39.98589,-75.131291,Fall 2016,44,42
-8363371.0043838,4864102.87860702,60,325405E,Bus,UTA,3,Eastbound,25405,KENSINGTON AV & CUMBERLAND S,39.987341,-75.12944,Fall 2016,77,56
