X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS
-8369638.43197802,4864924.49027324,1,7656N,Bus,UTA,7,Northbound,656,YORK ST & 33RD ST,39.99299573,-75.18574126,Fall 2014,2,45
-8369680.71779979,4864775.35304025,2,7644N,Bus,UTA,7,Northbound,644,33RD ST & DAUPHIN ST LOO,39.99196933,-75.18612112,Fall 2014,0,146
-8357668.00890931,4869451.23535705,3,821211W,Bus,UTA,8,Westbound,21211,FRANKFORD TRANSPORTATION CEN,40.02414259,-75.07820912,Fall 2014,1044,0
-8358385.23036974,4869756.51574893,4,823596W,Bus,UTA,8,Westbound,23596,PRATT ST & OXFORD AV,40.0262426,-75.08465203,Fall 2014,110,10
-8358896.99278559,4870109.52586226,5,823599W,Bus,UTA,8,Westbound,23599,PRATT ST & ROOSEVELT BLVD,40.02867086,-75.08924927,Fall 2014,24,4
-8359037.11619463,4870140.69938769,6,823W,Bus,UTA,8,Westbound,23,ROOSEVELT BLVD & PRATT ST -,40.02888529,-75.09050802,Fall 2014,93,11
-8360227.27183252,4870207.26710632,7,824W,Bus,UTA,8,Westbound,24,ROOSEVELT BLVD & TOWER BLVD,40.02934318,-75.10119937,Fall 2014,63,31
-8362175.54548536,4870323.32154676,8,8113W,Bus,UTA,8,Westbound,113,FISHER AV & RISING SUN AV -,40.03014146,-75.11870101,Fall 2014,161,65
-8362767.82528891,4870658.96361065,9,823970W,Bus,UTA,8,Westbound,23970,TABOR RD & MASCHER ST,40.03245012,-75.12402155,Fall 2014,77,36
-8363511.28030054,4870983.78829699,10,8114W,Bus,UTA,8,Westbound,114,TABOR RD & 5TH ST,40.0346843,-75.13070012,Fall 2014,79,86
-8363908.58735554,4871146.27441952,11,823971W,Bus,UTA,8,Westbound,23971,TABOR RD & 7TH ST,40.03580187,-75.13426919,Fall 2014,5,10
-8364330.28451098,4871286.50311468,12,823972W,Bus,UTA,8,Westbound,23972,TABOR RD & 10TH ST,40.03676634,-75.13805736,Fall 2014,9,30
-8364666.11649039,4871387.47068984,13,830321W,Bus,UTA,8,Westbound,30321,TABOR RD & 12TH ST,40.03746077,-75.14107419,Fall 2014,7,26
-8364824.47069244,4871435.39804278,14,830322W,Bus,UTA,8,Westbound,30322,TABOR RD & 13TH ST,40.0377904,-75.14249671,Fall 2014,0,4
-8365053.94135117,4871517.50159867,15,821191W,Bus,UTA,8,Westbound,21191,BROAD ST & OLNEY AV - LA,40.03835508,-75.14455808,Fall 2014,0,1353
-8365370.17887381,4871528.23350317,16,824591E,Bus,UTA,8,Eastbound,24591,OGONTZ AV & OLNEY AV - FS,40.03842889,-75.14739889,Fall 2014,31,0
-8365173.71221771,4871515.01818441,17,817225E,Bus,UTA,8,Eastbound,17225,BROAD ST & OLNEY AV - FS,40.038338,-75.145634,Fall 2014,22,0
-8365060.83982002,4871536.47763767,18,821191E,Bus,UTA,8,Eastbound,21191,BROAD ST & OLNEY AV - LAYOVE,40.03848559,-75.14462005,Fall 2014,1133,0
-8364860.61056512,4871452.18859213,19,830323E,Bus,UTA,8,Eastbound,30323,TABOR RD & 13TH ST,40.03790588,-75.14282136,Fall 2014,16,4
-8364699.88748431,4871395.53150683,20,823973E,Bus,UTA,8,Eastbound,23973,TABOR RD & 12TH ST,40.03751621,-75.14137756,Fall 2014,41,5
-8364350.54131872,4871290.84026614,21,823974E,Bus,UTA,8,Eastbound,23974,TABOR RD & 10TH ST,40.03679617,-75.13823933,Fall 2014,45,8
-8363935.00235751,4871152.80695324,22,823975E,Bus,UTA,8,Eastbound,23975,TABOR RD & 7TH ST,40.0358468,-75.13450648,Fall 2014,11,2
-8363549.31149137,4870998.57168048,23,8117E,Bus,UTA,8,Eastbound,117,TABOR RD & 5TH ST,40.03478598,-75.13104176,Fall 2014,96,62
-8362817.44261235,4870669.9112119,24,823976E,Bus,UTA,8,Eastbound,23976,TABOR RD & MASCHER ST,40.03252542,-75.12446727,Fall 2014,44,60
-8362179.57413774,4870335.9101362,25,8118E,Bus,UTA,8,Eastbound,118,FISHER AV & RISING SUN AV,40.03022805,-75.1187372,Fall 2014,80,97
-8361966.18914542,4869907.91287499,26,8119E,Bus,UTA,8,Eastbound,119,C ST & ROOSEVELT BLVD,40.02728403,-75.11682033,Fall 2014,18,25
-8360010.51831241,4869935.82498718,27,823319E,Bus,UTA,8,Eastbound,23319,ROOSEVELT BLVD & LANGDON ST,40.02747603,-75.09925224,Fall 2014,119,49
-8358881.97355989,4870076.21392646,28,823769E,Bus,UTA,8,Eastbound,23769,PRATT ST & ROOSEVELT BLVD -,40.02844172,-75.08911435,Fall 2014,64,77
-8358353.21933696,4869717.56454083,29,823773E,Bus,UTA,8,Eastbound,23773,PRATT ST & HORROCKS ST,40.02597466,-75.08436447,Fall 2014,29,78
-8357675.42056101,4869318.93765241,30,8111E,Bus,UTA,8,Eastbound,111,FRANKFORD TRANSPORTATION,40.0232325,-75.0782757,Fall 2014,36,1302
-8375625.90329804,4875168.64647857,31,919281S,Bus,Traffic,9,Southbound,19281,RIDGE AV & CATHEDRAL RD - FS,40.06346167,-75.23952763,Fall 2014,233,0
-8375540.65483199,4874794.99756477,32,912397S,Bus,Traffic,9,Southbound,12397,RIDGE AV & IVINS RD,40.06089275,-75.23876183,Fall 2014,13,0
-8375478.25580462,4874638.87300794,33,930920S,Bus,Traffic,9,Southbound,30920,RIDGE AV & PORT ROYAL AV,40.05981933,-75.23820129,Fall 2014,14,0
-8375254.95224567,4874195.23565881,34,9122S,Bus,Traffic,9,Southbound,122,RIDGE AV & SUMMIT AV,40.05676905,-75.23619532,Fall 2014,62,2
-8375230.10796172,4873946.6426107,35,916168S,Bus,Traffic,9,Southbound,16168,RIDGE AV & EVERGREEN AV,40.05505976,-75.23597214,Fall 2014,14,2
-8375237.93149553,4873772.39456894,36,916169S,Bus,Traffic,9,Southbound,16169,RIDGE AV & AURANIA ST,40.05386163,-75.23604242,Fall 2014,25,1
-8375245.18507355,4873606.85645845,37,916170S,Bus,Traffic,9,Southbound,16170,RIDGE AV & SHAWMONT AV,40.05272337,-75.23610758,Fall 2014,38,2
-8375258.86623897,4873456.82366414,38,918009S,Bus,Traffic,9,Southbound,18009,RIDGE AV & MINERVA ST,40.05169171,-75.23623048,Fall 2014,18,2
-8375233.28390679,4873272.89894147,39,916172S,Bus,Traffic,9,Southbound,16172,RIDGE AV & FLAMINGO ST,40.05042698,-75.23600067,Fall 2014,24,2
-8375160.07909645,4873030.29129092,40,916173S,Bus,Traffic,9,Southbound,16173,RIDGE AV & WIGARD AV,40.04875869,-75.23534306,Fall 2014,25,1
-8375074.56569001,4872851.99636199,41,912289S,Bus,Traffic,9,Southbound,12289,RIDGE AV & WIGARD AV - MBFS,40.04753262,-75.23457488,Fall 2014,6,0
-8374892.35572109,4872626.36314022,42,916175S,Bus,Traffic,9,Southbound,16175,RIDGE AV & HARMON RD,40.04598099,-75.23293806,Fall 2014,25,1
-8374756.84539175,4872505.14428039,43,9907S,Bus,Traffic,9,Southbound,907,RIDGE AV & DOMINO LN - FS,40.04514738,-75.23172075,Fall 2014,213,24
-8374420.09502654,4872327.65564783,44,920404S,Bus,Traffic,9,Southbound,20404,RIDGE AV & PAOILI AV,40.04392679,-75.22869567,Fall 2014,55,15
-8374273.0653563,4872213.02892822,45,912301S,Bus,Traffic,9,Southbound,12301,RIDGE AV & LIVEZEY ST - FS,40.04313849,-75.22737488,Fall 2014,29,1
-8374161.34400214,4872113.63207305,46,912322S,Bus,Traffic,9,Southbound,12322,RIDGE AV & PARKER AV,40.04245492,-75.22637127,Fall 2014,48,4
-8374066.40851401,4871986.94931234,47,916179S,Bus,Traffic,9,Southbound,16179,RIDGE AV & FAIRTHORNE AV - M,40.04158369,-75.22551845,Fall 2014,23,1
-8373935.88641105,4871806.8381581,48,916180S,Bus,Traffic,9,Southbound,16180,RIDGE AV & CINNAMINSON ST,40.040345,-75.22434595,Fall 2014,74,12
-8373881.77289338,4871685.24836658,49,918035S,Bus,Traffic,9,Southbound,18035,RIDGE AV & LEMONTE ST,40.03950877,-75.22385984,Fall 2014,23,4
-8373726.82729415,4871472.79151324,50,912269S,Bus,Traffic,9,Southbound,12269,RIDGE AV & FOUNTAIN ST - FS,40.03804758,-75.22246794,Fall 2014,152,20
-8373542.80059114,4871387.25550217,51,920405S,Bus,Traffic,9,Southbound,20405,RIDGE AV & GATES ST,40.03745929,-75.2208148,Fall 2014,24,3
-8373331.21897457,4871280.82105656,52,918045S,Bus,Traffic,9,Southbound,18045,RIDGE AV & HERMITAGE ST,40.03672726,-75.21891413,Fall 2014,43,4
-8373165.86500295,4871140.52119897,53,916181S,Bus,Traffic,9,Southbound,16181,RIDGE AV & LEVERINGTON AV,40.0357623,-75.21742873,Fall 2014,78,32
-8372998.05977613,4870917.76057848,54,912275S,Bus,Traffic,9,Southbound,12275,RIDGE AV & GREEN LN,40.03423016,-75.21592131,Fall 2014,131,38
-8372848.23821306,4870741.72515885,55,9123S,Bus,Traffic,9,Southbound,123,RIDGE AV & LYCEUM AV,40.03301937,-75.21457544,Fall 2014,77,44
-8372684.60301437,4870549.20912411,56,916185S,Bus,Traffic,9,Southbound,16185,RIDGE AV & MONASTARY AV,40.0316952,-75.21310548,Fall 2014,58,9
-8372595.36151819,4870441.5610009,57,916186S,Bus,Traffic,9,Southbound,16186,RIDGE AV & GERHARD ST,40.03095476,-75.21230381,Fall 2014,30,21
-8372493.02217072,4870310.42331117,58,916187S,Bus,Traffic,9,Southbound,16187,RIDGE AV & ROXBOROUGH AV,40.03005274,-75.21138448,Fall 2014,58,16
-8372373.6854502,4870099.78987992,59,917338S,Bus,Traffic,9,Southbound,17338,RIDGE AV & PENSDALE ST,40.02860389,-75.21031246,Fall 2014,45,20
-8372283.60905783,4869890.26868085,60,931281S,Bus,Traffic,9,Southbound,31281,RIDGE AV & SHURS LN,40.02716266,-75.20950329,Fall 2014,64,219
-8372182.22928437,4869651.28503761,61,912305S,Bus,Traffic,9,Southbound,12305,RIDGE AV & MARKEL ST,40.02551873,-75.20859258,Fall 2014,26,11
